timestamp_utc,mem_used,mem_limit,mem_percent
2026-05-17T13:14:13.881178+00:00,52.12MiB,7.606GiB,0.67
2026-05-17T13:14:17.873199+00:00,52.12MiB,7.606GiB,0.67
2026-05-17T13:14:21.887734+00:00,52.14MiB,7.606GiB,0.67
2026-05-17T13:14:39.211651+00:00,52.39MiB,7.606GiB,0.67
2026-05-17T13:14:43.233414+00:00,53.93MiB,7.606GiB,0.69
2026-05-17T13:14:47.245125+00:00,51.98MiB,7.606GiB,0.67
2026-05-17T13:14:51.260166+00:00,52MiB,7.606GiB,0.67
2026-05-17T13:15:08.554898+00:00,52.17MiB,7.606GiB,0.67
2026-05-17T13:15:12.574867+00:00,52.17MiB,7.606GiB,0.67
2026-05-17T13:15:16.588786+00:00,52.17MiB,7.606GiB,0.67
2026-05-17T13:15:20.616881+00:00,52.19MiB,7.606GiB,0.67
2026-05-17T13:15:37.842812+00:00,52.19MiB,7.606GiB,0.67
2026-05-17T13:15:41.852966+00:00,52.19MiB,7.606GiB,0.67
2026-05-17T13:15:45.886780+00:00,52MiB,7.606GiB,0.67
2026-05-17T13:15:49.901717+00:00,52.02MiB,7.606GiB,0.67
2026-05-17T13:16:07.155002+00:00,52.21MiB,7.606GiB,0.67
2026-05-17T13:16:11.171121+00:00,52.21MiB,7.606GiB,0.67
2026-05-17T13:16:15.191503+00:00,52.21MiB,7.606GiB,0.67
2026-05-17T13:16:19.206366+00:00,52.22MiB,7.606GiB,0.67
